City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
312,Cidreira,BR,-30.1811,-50.2056,78.53,72,1,10.65,clear sky
313,Paramirim,BR,-13.4425,-42.2389,87.13,34,100,9.19,overcast clouds
314,Guia De Isora,ES,28.2115,-16.7795,71.6,64,20,18.41,few clouds
315,Norman Wells,CA,65.282,-126.8329,-20.2,76,20,4.61,few clouds
316,Nanakuli,US,21.3906,-158.1547,73.4,78,20,5.75,few clouds
317,Pangai,TO,-19.8,-174.35,81.86,74,100,8.05,moderate rain
318,Merauke,ID,-8.4667,140.3333,80.24,84,82,8.61,broken clouds
319,Klaksvik,FO,62.2266,-6.589,33.8,80,20,5.75,few clouds
320,Tocopilla,CL,-22.092,-70.1979,75.18,51,10,9.04,clear sky
321,Deer Lake,CA,49.1667,-57.4316,26.6,80,75,18.41,light snow
322,Nabire,ID,-3.3667,135.4833,75.92,86,87,3.49,overcast clouds
323,Cloquet,US,46.7216,-92.4594,17.6,73,90,6.91,overcast clouds
324,Lahaina,US,20.8783,-156.6825,71.6,73,75,14.97,broken clouds
325,Hudson Bay,CA,52.85,-102.3842,-9.04,87,97,7.67,overcast clouds
326,Vardo,NO,70.3705,31.1107,17.6,100,20,31.07,snow
327,Bandarbeyla,SO,9.4942,50.8122,75.16,66,90,19.95,overcast clouds
328,Alyangula,AU,-13.8483,136.4192,78.8,100,40,5.7,scattered clouds
329,Muros,ES,42.7762,-9.0603,57.0,95,100,18.01,overcast clouds
330,Noshiro,JP,40.2039,140.0242,26.94,93,42,9.28,scattered clouds
331,Muslyumovo,RU,55.3033,53.1947,10.72,95,100,12.12,light snow
332,Chignautla,MX,19.8333,-97.3833,62.78,61,38,1.43,scattered clouds
333,Filadelfia,US,39.9523,-75.1638,30.99,34,75,26.46,broken clouds
334,Kifri,IQ,34.6959,44.9661,47.71,50,46,1.9,scattered clouds
335,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.1,67,47,15.1,scattered clouds
336,Huancavelica,PE,-12.7667,-74.9833,44.31,72,100,4.68,overcast clouds
337,Comodoro Rivadavia,AR,-45.8667,-67.5,64.4,55,75,6.91,broken clouds
338,Conakry,GN,9.538,-13.6773,82.13,65,15,12.86,few clouds
339,Suntar,RU,62.1444,117.6319,-53.95,68,68,3.62,broken clouds
340,Falakata,IN,26.5208,89.2055,65.12,54,88,1.48,overcast clouds
341,Tolbazy,RU,54.0241,55.8825,8.6,78,90,13.42,light snow
342,Northam,GB,51.0333,-4.2167,42.01,67,3,4.0,clear sky
343,Kichera,RU,55.9375,110.0997,0.46,79,100,3.53,overcast clouds
344,Taree,AU,-31.9,152.4667,68.0,88,1,4.27,clear sky
